Actual,Predicted
221.800003,213.84917
220.009995,215.59048
217.75,217.14784
218.25,217.9283
229.639999,218.31929
231.610001,220.62956
230.259995,223.69734
237.19000200000002,226.25914
231.990005,229.43996
232.710007,231.21712
230.380005,232.15977
231.130005,232.04622
226.720001,231.59875
224.520004,230.1984
227.070007,228.2189
217.020004,226.84248
218.580002,224.06212
221.089996,221.5404
234.509995,220.0898
233.389999,221.98225
230.460007,224.80243
232.559998,226.99474
229.949997,228.923
229.699997,229.83995
230.570007,230.07538
228.949997,230.10258
237.19000200000002,229.69044
238.089996,230.7433
240.009995,232.37512
223.41000400000001,234.32632
223.429993,232.8094
219.039993,230.11853
215.649994,226.53636
211.0,222.59892
207.850006,218.38411
209.970001,214.28397
200.309998,211.44553
206.179993,207.93253
204.990005,205.95552
204.720001,204.84312
198.699997,204.3415
199.970001,203.13214
202.55000300000003,202.116
196.380005,201.87032
193.559998,200.88014
188.070007,199.24606
189.699997,196.61295
191.199997,194.32494
196.940002,192.8854
182.779999,193.17168
173.479996,191.58778
175.330002,187.79883
162.600006,184.04446
147.990005,178.66922
148.25,170.9494
143.669998,163.59772
150.470001,156.90916
151.039993,152.92743
155.169998,151.06174
168.679993,151.32274
166.770004,155.0181
166.580002,159.40901
177.740005,163.36896
177.210007,168.4589
179.0,173.0444
187.429993,176.87418
190.339996,181.162
191.929993,185.35132
186.350006,188.9672
188.339996,190.55775
195.740005,191.24852
201.039993,192.70015
205.289993,195.15517
202.600006,198.37581
208.72000099999997,200.81549
205.179993,203.586
207.5,205.27283
215.149994,206.57664
218.339996,208.86887
221.929993,211.73842
226.380005,214.99382
232.740005,218.63397
238.320007,222.94609
234.240005,227.7705
222.580002,231.04938
227.75,230.72232
230.259995,229.84589
230.130005,229.27946
226.889999,228.892
229.770004,228.02606
237.589996,227.68079
246.990005,229.1339
255.470001,232.92789
265.420013,238.6948
257.200012,246.18207
250.070007,251.26956
249.91999799999996,252.88354
247.820007,252.58159
254.529999,250.98932
251.860001,250.40823
254.509995,249.77817
253.880005,249.78342
247.369995,249.9265
249.970001,248.83269
248.28999299999998,247.96478
253.75,247.02023
251.82000700000003,247.32494
253.740005,247.7294
251.470001,248.51556
247.710007,248.87125
240.759995,248.24944
241.800003,245.97568
232.320007,243.65213
222.55999800000004,239.90106
211.529999,234.42926
214.929993,227.20515
208.919998,221.28555
208.690002,215.94801
